Date,Open,High,Low,Close,Volume,Change
2025-10-27,101300,102000,100600,102000,22169970,0.03238866396761142
2025-10-28,100900,101000,99100,99500,20002282,-0.02450980392156865
2025-10-29,100200,101000,99100,100500,20899788,0.01005025125628145
2025-10-30,102400,105800,102000,104100,34570017,0.035820895522387985
2025-10-31,105000,108600,103300,107500,54824564,0.032660902977905915
2025-11-03,106900,111500,106500,111100,30110066,0.033488372093023244
2025-11-04,111800,112400,104900,104900,30450281,-0.055805580558055845
2025-11-05,101000,102000,96700,100600,44843020,-0.040991420400381284
2025-11-06,103700,103800,98800,99200,28655689,-0.013916500994035741
2025-11-07,96400,100300,96300,97900,22908083,-0.01310483870967738
2025-11-10,98600,101000,97900,100600,23842327,0.027579162410623193
2025-11-11,103700,106000,102000,103500,27742542,0.02882703777335993
2025-11-12,103000,103900,101600,103100,19413497,-0.0038647342995169476
2025-11-13,102500,104200,102300,102800,20838741,-0.0029097963142580285
2025-11-14,99000,99600,97200,97200,21806342,-0.054474708171206254
2025-11-17,99800,101000,99500,100600,17192584,0.034979423868312765
2025-11-18,99800,100900,97500,97800,18684068,-0.027833001988071593
2025-11-19,97100,97500,94600,96500,18993346,-0.013292433537832271
2025-11-20,100900,102900,99500,100600,25360435,0.042487046632124326
2025-11-21,95600,96800,94500,94800,23103574,-0.05765407554671964
2025-11-24,97800,99000,96200,96700,29831172,0.020042194092827037
2025-11-25,101400,101400,97800,99300,16110054,0.026887280248190315
2025-11-26,100500,102900,99300,102800,21314975,0.03524672708962728
2025-11-27,104100,105500,102700,103500,16453004,0.006809338521400754
2025-11-28,103800,103800,100500,100500,15292277,-0.02898550724637683
2025-12-01,102000,102800,99900,100800,10905526,0.0029850746268655914
2025-12-02,101200,103500,101000,103400,13649487,0.025793650793650702
2025-12-03,104700,105500,104000,104500,14697927,0.010638297872340496
2025-12-04,103900,105100,103200,105100,11931145,0.00574162679425827
2025-12-05,105300,108400,104600,108400,19755571,0.03139866793529977
2025-12-08,109700,110000,108000,109500,15527762,0.010147601476014678
2025-12-09,108900,109400,107300,108400,13671800,-0.010045662100456654
2025-12-10,108300,109800,107400,108000,12365092,-0.0036900369003689537
2025-12-11,109200,110500,107300,107300,22994507,-0.0064814814814815325
2025-12-12,107100,108900,106800,108900,14210314,0.01491146318732528
2025-12-15,105300,105800,104600,104800,20594654,-0.037649219467401296
2025-12-16,104900,105600,102700,102800,18852079,-0.01908396946564883
2025-12-17,103500,108100,103400,107900,22297611,0.04961089494163429
2025-12-18,106400,108200,105700,107600,20445631,-0.002780352177942591
2025-12-19,109700,109700,106200,106300,25917098,-0.012081784386617112
2025-12-22,109700,110500,109300,110500,24859171,0.03951081843838189
2025-12-23,110900,112500,110400,111500,20419187,0.009049773755656076
2025-12-24,112400,112400,110900,111100,12492939,-0.0035874439461883734
2025-12-26,112400,117000,112400,117000,34018174,0.05310531053105305
2025-12-29,119400,119700,118200,119500,19676004,0.02136752136752129
2025-12-30,119100,121200,118700,119900,19746349,0.0033472803347280866
2026-01-02,120200,128500,120200,128500,30463279,0.07172643869891582
2026-01-05,134600,138600,133600,138100,42863376,0.07470817120622564
2026-01-06,135300,139300,132700,138900,45321341,0.005792903692976026
2026-01-07,143500,144400,137600,141000,46317413,0.015118790496760237
2026-01-08,138300,144500,138300,138800,41449329,-0.015602836879432647
2026-01-09,136000,140700,135200,139000,29520566,0.0014409221902016434
2026-01-12,141000,142000,136900,138800,26271134,-0.0014388489208633226
2026-01-13,139800,140200,136900,137600,22384699,-0.008645533141210415
2026-01-14,137000,140300,136800,140300,18444394,0.019622093023255793
2026-01-15,139000,144000,138300,143900,24701126,0.02565930149679252
2026-01-16,145300,149500,144300,148900,30000219,0.0347463516330786
2026-01-19,147200,150600,146600,149300,22762497,0.002686366689053088
2026-01-20,148500,149300,143900,145200,24059218,-0.02746148693904893
2026-01-21,141900,149800,141800,149500,31703610,0.029614325068870517
2026-01-22,155000,157000,150800,152300,32073624,0.0187290969899665
2026-01-23,154700,156000,150100,152100,25407497,-0.0013131976362442677
2026-01-26,154900,156400,151500,152100,20561689,0.0
2026-01-27,150500,159500,149200,159500,29423670,0.048652202498356445
2026-01-28,162600,163300,160200,162400,29456431,0.018181818181818077
2026-01-29,166200,166600,157100,160700,36087223,-0.010467980295566504
2026-01-30,160100,166500,160100,160500,40557267,-0.001244555071561959
2026-02-02,155700,159600,150400,150400,39748369,-0.06292834890965737
2026-02-03,157900,167500,157200,167500,36529813,0.11369680851063824
2026-02-04,163500,169400,163100,169100,29943042,0.009552238805970115
2026-02-05,162000,164000,158500,159300,38435228,-0.05795387344766412
2026-02-06,154100,160300,151600,158600,36358081,-0.00439422473320783
2026-02-09,168600,168700,165000,166400,25098971,0.049180327868852514
2026-02-10,167400,168100,165500,165800,19369566,-0.0036057692307692735
2026-02-11,164000,168600,162000,167800,22760242,0.012062726176115701
2026-02-12,171200,179600,170100,178600,41296011,0.06436233611442188
2026-02-13,179500,184400,178900,181200,34454192,0.014557670772676445
2026-02-19,188000,190900,187100,190000,27049388,0.04856512141280356
2026-02-20,190000,190300,188600,190100,24213880,0.000526315789473708
2026-02-23,194400,197600,190500,193000,26364684,0.015255128879537061
2026-02-24,193000,200000,192000,200000,28060617,0.03626943005181338
2026-02-25,202500,206000,201000,203500,26987996,0.01750000000000007
2026-02-26,206500,219000,206000,218000,30095763,0.07125307125307123
2026-02-27,210000,223000,210000,216500,51774768,-0.006880733944954143
2026-03-03,209500,212500,195100,195100,54879010,-0.0988452655889146
2026-03-04,184200,195900,171900,172200,89427954,-0.11737570476678627
2026-03-05,195000,199700,188100,191600,53959129,0.11265969802555165
2026-03-06,186100,189700,181000,188200,29522650,-0.017745302713987443
2026-03-09,173500,175500,167300,173500,43066020,-0.07810839532412328
2026-03-10,187600,191500,184300,187900,33530170,0.0829971181556195
2026-03-11,193000,194800,187700,190000,24311356,0.011176157530601305
2026-03-12,186600,190000,185900,187900,20440753,-0.011052631578947314
2026-03-13,180000,186200,179900,183500,19566331,-0.023416711016498115
2026-03-16,184600,189000,183600,188700,19747901,0.02833787465940052
2026-03-17,198000,198000,193100,193900,20300082,0.02755696873343938
2026-03-18,200500,209000,199700,208500,25148481,0.07529654461062396
2026-03-19,199900,205000,199600,200500,19884483,-0.0383693045563549
2026-03-20,202000,202500,199000,199400,35279762,-0.005486284289276777
2026-03-23,190500,191200,186300,186300,30268173,-0.0656970912738215
2026-03-24,195500,196000,185500,189700,25458914,0.01825013419216326
2026-03-25,193700,196400,189000,189000,22995904,-0.0036900369003689537
2026-03-26,185500,185900,178900,180100,32074131,-0.04708994708994707
2026-03-27,172100,181700,172000,179700,29138966,-0.002220988339811214
2026-03-30,171000,176650,170600,176300,22269147,-0.018920422927100722
2026-03-31,170000,174700,167000,167200,38659593,-0.051616562677254674
2026-04-01,179000,190800,178000,189600,32390251,0.13397129186602874
2026-04-02,192600,193600,175000,178400,38615231,-0.05907172995780585
2026-04-03,184200,187200,182700,186200,20194447,0.043721973094170474
2026-04-06,190900,194600,190100,193100,20635958,0.03705692803437155
2026-04-07,202000,202500,192400,196500,30848053,0.017607457276022753
2026-04-08,214000,214500,207500,210500,35890973,0.07124681933842236
2026-04-09,207000,207500,202000,204000,42320839,-0.030878859857482177
2026-04-10,208500,211000,205500,206000,18244459,0.009803921568627416
2026-04-13,198200,203000,198200,201000,19603415,-0.024271844660194164
